,Deck,Player,ID,Tournament,Date,Format,Size,Decklist,Deck Adjusted
0,Mono-Green Ramp,strong sad,2457043,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Burning-Tree Emissary
1 Castle Garenbrig
2 Courser of Kruphix
4 Elvish Mystic
15 Forest
4 Leyline of Abundance
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Oath of Nissa
4 Once Upon a Time
2 Vivien, Arkbow Ranger
4 Voracious Hydra
4 Walking Ballista

1 Hornet Queen
4 Nylea's Disciple
1 Reclamation Sage
3 Scavenging Ooze
3 Shapers' Sanctuary
1 Ulamog, the Ceaseless Hunger
2 Whisperwood Elemental",Gx Eldrazi Ramp
1,Four-Color Copycat Energy,baronvonfonz,2457044,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Aether Hub
4 Attune with Aether
4 Botanical Sanctum
2 Breeding Pool
4 Felidar Guardian
2 Forest
4 Gilded Goose
4 Harnessed Lightning
2 Heart of Kiran
1 Inspiring Vantage
1 Island
1 Mana Confluence
1 Mountain
2 Oath of Chandra
4 Oath of Nissa
2 Oko, Thief of Crowns
1 Plains
4 Rogue Refiner
4 Saheeli Rai
1 Spirebluff Canal
1 Stomping Ground
1 Tamiyo, Collector of Tales
4 Teferi, Time Raveler
2 Temple Garden

2 Arashin Cleric
1 Deafening Clarion
1 Dovin's Veto
2 Mystical Dispute
1 Nahiri, the Harbinger
2 Reflector Mage
1 Tamiyo, Collector of Tales
2 Tireless Tracker
3 Veil of Summer",
2,Izzet Phoenix,Valorj,2457046,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Arclight Phoenix
4 Chart a Course
4 Fiery Temper
4 Island
4 Izzet Charm
4 Lightning Axe
2 Merchant of the Vale
2 Mountain
4 Opt
4 Shivan Reef
4 Spirebluff Canal
4 Steam Vents
2 Strategic Planning
2 Sulfur Falls
4 Thing in the Ice
4 Treasure Cruise
4 Wild Slash

2 Abrade
2 Chandra, Torch of Defiance
1 Entrancing Melody
1 Fry
1 Hour of Devastation
1 Keranos, God of Storms
2 Mystical Dispute
1 Spell Pierce
2 Sweltering Suns
2 The Royal Scions",
3,Simic Nexus,TrollingSaruman,2457042,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"3 Blast Zone
4 Breeding Pool
2 Castle Vantress
2 Chart a Course
1 Cyclonic Rift
4 Dig Through Time
4 Fabled Passage
4 Fog
2 Forest
4 Growth Spiral
2 Hinterland Harbor
5 Island
1 Lumbering Falls
1 Narset, Parter of Veils
4 Nexus of Fate
4 Opt
2 Search for Azcanta
4 Supreme Will
2 Tamiyo, Collector of Tales
1 Thing in the Ice
4 Wilderness Reclamation

2 Display of Dominance
1 Jace, Architect of Thought
1 Mystical Dispute
2 Negate
3 Thing in the Ice
3 Tireless Tracker
3 Veil of Summer",
4,Burn,suitedspades,2457051,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"1 Ash Zealot
4 Bomat Courier
4 Eidolon of the Great Revel
4 Light Up the Stage
4 Lightning Strike
4 Monastery Swiftspear
14 Mountain
4 Ramunap Ruins
4 Searing Blood
4 Shock
4 Skewer the Critics
1 Skullcrack
4 Soul-Scar Mage
4 Wild Slash

2 Aethersphere Harvester
1 Burning Earth
1 Experimental Frenzy
4 Lava Coil
2 Rampaging Ferocidon
2 Rending Volley
3 Skullcrack",
5,Four-Color Copycat,El_Viejo,2457055,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"3 Aether Hub
4 Botanical Sanctum
4 Breeding Pool
1 Elvish Visionary
4 Felidar Guardian
4 Gilded Goose
1 Heart of Kiran
3 Inspiring Vantage
1 Island
4 Llanowar Elves
1 Mana Confluence
2 Oath of Chandra
4 Oath of Nissa
3 Oko, Thief of Crowns
2 Once Upon a Time
1 Reflector Mage
3 Rogue Refiner
4 Saheeli Rai
1 Stomping Ground
4 Teferi, Time Raveler
3 Temple Garden
2 Wicked Wolf
1 Yavimaya Coast

2 Charming Prince
1 Eidolon of Rhetoric
2 Fry
2 Knight of Autumn
1 Mystical Dispute
1 Oath of Chandra
1 Reflector Mage
2 Rest in Peace
1 Sorcerous Spyglass
2 Veil of Summer",
6,Four-Color Copycat,MentalMisstep,2457049,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"2 Aether Hub
4 Botanical Sanctum
1 Brazen Borrower
4 Breeding Pool
3 Elvish Mystic
4 Felidar Guardian
4 Gilded Goose
2 Heart of Kiran
4 Inspiring Vantage
1 Island
2 Llanowar Elves
1 Mana Confluence
4 Oath of Nissa
4 Oko, Thief of Crowns
1 Once Upon a Time
2 Reflector Mage
2 Rogue Refiner
4 Saheeli Rai
1 Stomping Ground
4 Teferi, Time Raveler
3 Temple Garden
2 Wild Slash
1 Yavimaya Coast

1 Declaration in Stone
1 Eidolon of Rhetoric
1 Fry
2 Knight of Autumn
3 Mystical Dispute
2 Radiant Flames
2 Rest in Peace
1 Sorcerous Spyglass
2 Veil of Summer",
7,Four-Color Copycat,PieGonti,2457060,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"3 Aether Hub
4 Botanical Sanctum
1 Brazen Borrower
4 Breeding Pool
3 Elvish Mystic
4 Felidar Guardian
4 Gilded Goose
2 Heart of Kiran
3 Inspiring Vantage
1 Island
2 Llanowar Elves
1 Mana Confluence
4 Oath of Nissa
4 Oko, Thief of Crowns
1 Once Upon a Time
2 Reflector Mage
2 Rogue Refiner
4 Saheeli Rai
1 Stomping Ground
4 Teferi, Time Raveler
3 Temple Garden
2 Wild Slash
1 Yavimaya Coast

2 Deafening Clarion
2 Eidolon of Rhetoric
2 Knight of Autumn
2 Mystical Dispute
2 Rest in Peace
1 Sorcerous Spyglass
2 Surge of Righteousness
2 Veil of Summer",
8,Four-Color Copycat,SknerusMcKwacz,2457050,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Aether Hub
4 Botanical Sanctum
4 Breeding Pool
3 Elvish Mystic
4 Felidar Guardian
4 Gilded Goose
2 Heart of Kiran
3 Inspiring Vantage
1 Island
2 Llanowar Elves
4 Oath of Nissa
4 Oko, Thief of Crowns
3 Reflector Mage
3 Rogue Refiner
4 Saheeli Rai
1 Stomping Ground
4 Teferi, Time Raveler
3 Temple Garden
2 Wild Slash
1 Yavimaya Coast

2 Chandra, Awakened Inferno
2 Devout Decree
2 Knight of Autumn
2 Mystical Dispute
2 Radiant Flames
2 Rest in Peace
2 Tireless Tracker
1 Veil of Summer",
9,Four-Color Copycat,ovmlcabrera,2457052,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"3 Aether Hub
4 Botanical Sanctum
4 Breeding Pool
1 Deputy of Detention
2 Elvish Mystic
4 Felidar Guardian
4 Gilded Goose
2 Heart of Kiran
3 Inspiring Vantage
1 Island
1 Jace, Architect of Thought
2 Llanowar Elves
1 Mana Confluence
4 Oath of Nissa
4 Oko, Thief of Crowns
1 Once Upon a Time
1 Reflector Mage
2 Rogue Refiner
4 Saheeli Rai
1 Stomping Ground
4 Teferi, Time Raveler
3 Temple Garden
1 Tireless Tracker
2 Wild Slash
1 Yavimaya Coast

2 Deafening Clarion
2 Deafening Silence
3 Display of Dominance
1 Jace, Architect of Thought
2 Knight of Autumn
2 Rest in Peace
1 Tireless Tracker
2 Veil of Summer",
